Riding,Voter Number,Rank Ballot,Range Ballot,Approval Ballot
195,3922,LIBERAL;GREEN;NDP;CPC,1;1;2;1,YES;YES;YES;YES
195,3923,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
195,3924,LIBERAL;GREEN;NDP;CPC,1;2;2;2,NO;YES;YES;YES
195,3925,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;NO;NO
195,3926,CPC;GREEN;LIBERAL;NDP,4;2;1;1,YES;NO;NO;NO
195,3927,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;NO;NO;NO
195,3928,GREEN;NDP;LIBERAL;CPC,1;3;1;2,NO;YES;NO;YES
195,3929,CPC;GREEN;LIBERAL;NDP,4;2;1;1,YES;NO;NO;NO
195,3930,CPC;NDP;GREEN;LIBERAL,1;1;1;1,YES;YES;YES;YES
195,3931,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;YES
195,3932,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;NO
195,3933,LIBERAL;GREEN;NDP;CPC,3;4;5;3,YES;YES;YES;YES
195,3934,NDP;LIBERAL;CPC;GREEN,1;1;3;4,NO;NO;YES;YES
195,3935,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;YES;NO
195,3936,LIBERAL;CPC;NDP;GREEN,4;2;4;3,YES;YES;YES;YES
195,3937,CPC;NDP;LIBERAL;GREEN,4;2;2;3,YES;NO;NO;NO
195,3938,LIBERAL;NDP;CPC;GREEN,1;1;2;1,NO;NO;YES;NO
196,3939,LIBERAL;NDP;CPC;GREEN,2;2;4;2,NO;NO;YES;NO
196,3940,LIBERAL;NDP;CPC;GREEN,1;1;3;1,NO;NO;YES;NO
196,3941,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
196,3942,LIBERAL;CPC;GREEN;NDP,2;1;4;1,NO;NO;YES;NO
196,3943,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
196,3944,CPC;GREEN;NDP;LIBERAL,4;2;1;2,YES;YES;NO;YES
196,3945,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
196,3946,LIBERAL;GREEN;NDP;CPC,1;1;4;1,NO;NO;YES;NO
196,3947,CPC;NDP;LIBERAL;GREEN,4;1;2;2,YES;NO;YES;YES
196,3948,LIBERAL;CPC;NDP;GREEN,2;1;3;1,NO;NO;YES;NO
196,3949,NDP;GREEN;LIBERAL;CPC,2;3;2;4,NO;YES;NO;YES
196,3950,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
196,3951,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;YES;NO
196,3952,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
196,3953,CPC;GREEN;NDP;LIBERAL,4;3;2;2,YES;NO;NO;NO
196,3954,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
196,3955,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;YES;NO;NO
196,3956,LIBERAL;NDP;CPC;GREEN,1;1;1;1,YES;YES;YES;YES
197,3957,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;YES
197,3958,LIBERAL;NDP;CPC;GREEN,1;1;3;2,YES;YES;YES;YES
197,3959,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;YES;YES;YES
197,3960,LIBERAL;NDP;CPC;GREEN,3;2;4;3,YES;YES;YES;YES
197,3961,LIBERAL;GREEN;NDP;CPC,1;1;2;1,NO;NO;YES;NO
197,3962,CPC;LIBERAL;NDP;GREEN,4;1;1;1,YES;NO;NO;NO
197,3963,CPC;LIBERAL;NDP;GREEN,2;1;2;1,YES;YES;YES;YES
197,3964,GREEN;LIBERAL;CPC;NDP,2;4;3;1,NO;YES;NO;NO
197,3965,LIBERAL;CPC;NDP;GREEN,2;1;3;2,NO;NO;YES;NO
197,3966,LIBERAL;NDP;GREEN;CPC,1;2;5;3,NO;NO;YES;YES
197,3967,NDP;LIBERAL;GREEN;CPC,1;1;2;4,NO;NO;YES;YES
197,3968,LIBERAL;GREEN;NDP;CPC,1;3;4;2,NO;NO;YES;NO
197,3969,CPC;GREEN;LIBERAL;NDP,3;2;2;1,YES;YES;YES;YES
197,3970,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;NO
197,3971,NDP;GREEN;LIBERAL;CPC,1;3;2;5,YES;YES;YES;YES
197,3972,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
197,3973,LIBERAL;GREEN;NDP;CPC,1;2;3;2,YES;YES;YES;YES
197,3974,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;NO;YES
197,3975,NDP;GREEN;CPC;LIBERAL,1;3;1;4,NO;YES;NO;YES
197,3976,CPC;GREEN;LIBERAL;NDP,4;4;2;1,YES;YES;YES;NO
197,3977,LIBERAL;NDP;GREEN;CPC,1;1;3;1,NO;NO;YES;NO
197,3978,LIBERAL;NDP;GREEN;CPC,1;2;4;2,NO;NO;YES;NO
198,3979,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
198,3980,LIBERAL;CPC;NDP;GREEN,3;1;4;2,NO;NO;YES;NO
198,3981,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
198,3982,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;NO;NO;NO
198,3983,LIBERAL;GREEN;NDP;CPC,1;2;3;2,NO;YES;YES;YES
198,3984,LIBERAL;GREEN;NDP;CPC,1;2;3;2,YES;YES;YES;YES
198,3985,LIBERAL;NDP;GREEN;CPC,1;1;5;2,NO;NO;YES;NO
198,3986,LIBERAL;NDP;GREEN;CPC,2;2;4;3,YES;YES;YES;YES
198,3987,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
198,3988,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;NO;NO;YES
198,3989,LIBERAL;NDP;GREEN;CPC,1;1;3;3,YES;YES;YES;YES
198,3990,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
198,3991,NDP;GREEN;CPC;LIBERAL,1;3;1;4,YES;YES;YES;YES
198,3992,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;YES
198,3993,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
198,3994,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;YES;NO;NO
198,3995,CPC;NDP;GREEN;LIBERAL,3;2;1;3,YES;YES;YES;YES
198,3996,LIBERAL;GREEN;NDP;CPC,1;1;4;1,NO;NO;YES;NO
198,3997,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
199,3998,NDP;GREEN;LIBERAL;CPC,1;2;1;3,NO;YES;NO;YES
199,3999,NDP;GREEN;CPC;LIBERAL,1;1;1;1,YES;YES;YES;YES
199,4000,NDP;LIBERAL;CPC;GREEN,1;1;2;4,NO;NO;NO;YES
199,4001,NDP;GREEN;CPC;LIBERAL,1;1;1;3,NO;NO;NO;YES
199,4002,CPC;NDP;LIBERAL;GREEN,5;2;3;4,YES;NO;NO;NO
199,4003,NDP;CPC;LIBERAL;GREEN,1;1;1;1,YES;YES;YES;YES
199,4004,CPC;NDP;GREEN;LIBERAL,4;2;2;2,YES;NO;NO;NO
199,4005,CPC;GREEN;LIBERAL;NDP,3;2;2;1,YES;YES;YES;NO
199,4006,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;YES;NO
199,4007,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;NO;NO;YES
199,4008,LIBERAL;NDP;CPC;GREEN,1;1;4;2,YES;YES;YES;YES
199,4009,LIBERAL;NDP;CPC;GREEN,2;1;4;3,YES;YES;YES;YES
199,4010,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;YES
199,4011,NDP;GREEN;CPC;LIBERAL,1;2;1;3,NO;NO;NO;YES
199,4012,CPC;GREEN;LIBERAL;NDP,4;3;2;1,YES;NO;NO;NO
199,4013,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;YES;YES;YES
199,4014,NDP;GREEN;LIBERAL;CPC,1;2;1;3,NO;YES;NO;YES
199,4015,NDP;LIBERAL;GREEN;CPC,1;2;3;4,YES;YES;YES;YES
200,4016,NDP;CPC;LIBERAL;GREEN,3;1;2;3,YES;YES;YES;YES
200,4017,CPC;GREEN;NDP;LIBERAL,4;3;2;3,YES;NO;NO;NO
200,4018,NDP;LIBERAL;CPC;GREEN,1;1;2;4,YES;YES;YES;YES
200,4019,GREEN;NDP;LIBERAL;CPC,2;4;3;3,NO;YES;NO;NO
200,4020,LIBERAL;GREEN;NDP;CPC,1;1;2;1,YES;YES;YES;YES
200,4021,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
200,4022,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;NO;YES;NO
200,4023,LIBERAL;CPC;GREEN;NDP,2;1;3;1,NO;NO;YES;NO
200,4024,LIBERAL;CPC;NDP;GREEN,3;1;4;2,YES;NO;YES;YES
200,4025,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
200,4026,NDP;CPC;GREEN;LIBERAL,3;2;1;4,YES;NO;NO;YES
200,4027,LIBERAL;NDP;GREEN;CPC,1;1;2;2,YES;YES;YES;YES
200,4028,LIBERAL;NDP;CPC;GREEN,1;1;5;2,NO;NO;YES;NO
200,4029,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
200,4030,NDP;GREEN;CPC;LIBERAL,1;1;1;2,NO;NO;NO;YES
200,4031,LIBERAL;CPC;GREEN;NDP,3;1;4;1,YES;NO;YES;NO
200,4032,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
200,4033,CPC;NDP;LIBERAL;GREEN,3;2;2;2,YES;NO;NO;NO
200,4034,NDP;LIBERAL;GREEN;CPC,1;1;2;5,NO;NO;NO;YES
200,4035,NDP;LIBERAL;GREEN;CPC,1;1;2;2,NO;NO;YES;YES
200,4036,LIBERAL;NDP;GREEN;CPC,2;3;3;3,YES;YES;YES;YES
200,4037,LIBERAL;GREEN;NDP;CPC,1;2;3;1,YES;YES;YES;YES
201,4038,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
201,4039,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
201,4040,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
201,4041,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
201,4042,CPC;NDP;GREEN;LIBERAL,5;2;1;4,YES;YES;NO;YES
201,4043,NDP;LIBERAL;CPC;GREEN,1;1;2;3,NO;NO;YES;YES
201,4044,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
201,4045,LIBERAL;GREEN;NDP;CPC,2;3;5;3,YES;YES;YES;YES
201,4046,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;YES;YES;YES
201,4047,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
201,4048,CPC;LIBERAL;NDP;GREEN,3;1;2;2,YES;YES;YES;YES
201,4049,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;NO
201,4050,NDP;LIBERAL;GREEN;CPC,1;2;3;4,NO;NO;NO;YES
201,4051,LIBERAL;NDP;GREEN;CPC,1;2;3;2,YES;YES;YES;YES
201,4052,LIBERAL;NDP;CPC;GREEN,1;1;2;1,NO;NO;YES;NO
201,4053,NDP;GREEN;LIBERAL;CPC,1;2;2;3,YES;YES;YES;YES
201,4054,CPC;NDP;GREEN;LIBERAL,3;2;1;2,YES;YES;NO;YES
201,4055,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;YES
201,4056,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
201,4057,CPC;LIBERAL;NDP;GREEN,4;2;2;2,YES;NO;NO;NO
201,4058,LIBERAL;NDP;GREEN;CPC,1;2;5;3,YES;YES;YES;YES
202,4059,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
202,4060,GREEN;NDP;LIBERAL;CPC,1;4;1;3,NO;YES;NO;YES
202,4061,GREEN;LIBERAL;CPC;NDP,2;3;2;2,YES;YES;YES;YES
202,4062,CPC;GREEN;LIBERAL;NDP,4;3;1;1,YES;NO;NO;NO
202,4063,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;YES;YES;YES
202,4064,LIBERAL;CPC;NDP;GREEN,1;1;2;1,YES;YES;YES;YES
202,4065,GREEN;NDP;LIBERAL;CPC,1;3;1;1,NO;YES;NO;NO
202,4066,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;YES;YES;YES
202,4067,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
202,4068,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
202,4069,NDP;GREEN;CPC;LIBERAL,1;2;1;3,YES;YES;YES;YES
202,4070,LIBERAL;NDP;GREEN;CPC,1;2;3;3,NO;NO;YES;YES
202,4071,LIBERAL;NDP;CPC;GREEN,3;2;4;4,NO;NO;YES;YES
202,4072,GREEN;CPC;LIBERAL;NDP,2;3;1;1,YES;YES;YES;YES
202,4073,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;NO;YES
202,4074,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;NO;NO
202,4075,GREEN;NDP;LIBERAL;CPC,1;5;3;4,NO;YES;NO;NO
202,4076,CPC;NDP;GREEN;LIBERAL,4;1;1;3,YES;NO;NO;YES
202,4077,LIBERAL;GREEN;NDP;CPC,3;4;4;3,YES;YES;YES;YES
202,4078,NDP;LIBERAL;GREEN;CPC,1;1;1;3,YES;YES;YES;YES
202,4079,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
203,4080,CPC;GREEN;NDP;LIBERAL,2;2;1;1,YES;YES;YES;YES
203,4081,CPC;GREEN;LIBERAL;NDP,3;2;2;1,YES;YES;YES;YES
203,4082,CPC;GREEN;LIBERAL;NDP,3;2;2;1,YES;YES;YES;NO
203,4083,LIBERAL;NDP;CPC;GREEN,2;1;4;3,YES;NO;YES;YES
203,4084,CPC;GREEN;NDP;LIBERAL,4;3;2;2,YES;NO;NO;NO
203,4085,LIBERAL;CPC;GREEN;NDP,3;2;4;1,YES;NO;YES;NO
203,4086,LIBERAL;NDP;GREEN;CPC,1;2;3;3,YES;YES;YES;YES
203,4087,LIBERAL;NDP;GREEN;CPC,2;3;4;3,NO;YES;YES;YES
203,4088,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
203,4089,LIBERAL;GREEN;NDP;CPC,1;2;2;1,NO;YES;YES;NO
203,4090,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;YES;YES;YES
203,4091,LIBERAL;NDP;GREEN;CPC,1;1;4;1,NO;NO;YES;NO
203,4092,CPC;NDP;GREEN;LIBERAL,1;1;1;1,YES;YES;YES;YES
203,4093,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;YES;YES;YES
203,4094,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
203,4095,LIBERAL;GREEN;NDP;CPC,1;3;4;2,YES;YES;YES;YES
203,4096,LIBERAL;NDP;GREEN;CPC,1;2;3;2,YES;YES;YES;YES
203,4097,LIBERAL;CPC;NDP;GREEN,3;2;4;3,YES;YES;YES;YES
203,4098,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
204,4099,CPC;GREEN;LIBERAL;NDP,3;2;1;1,YES;NO;NO;NO
204,4100,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
204,4101,LIBERAL;GREEN;CPC;NDP,1;2;2;1,NO;YES;YES;NO
204,4102,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;NO
204,4103,CPC;NDP;LIBERAL;GREEN,1;1;1;1,YES;YES;YES;YES
204,4104,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
204,4105,NDP;GREEN;CPC;LIBERAL,2;3;1;4,NO;YES;NO;YES
204,4106,NDP;GREEN;CPC;LIBERAL,1;1;1;2,YES;YES;YES;YES
204,4107,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;YES
204,4108,LIBERAL;NDP;GREEN;CPC,1;1;5;2,NO;NO;YES;NO
204,4109,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;NO
204,4110,LIBERAL;NDP;GREEN;CPC,1;1;3;1,YES;YES;YES;YES
204,4111,LIBERAL;CPC;GREEN;NDP,3;2;4;2,YES;YES;YES;YES
204,4112,CPC;LIBERAL;GREEN;NDP,3;1;2;1,YES;YES;YES;YES
204,4113,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
204,4114,CPC;GREEN;NDP;LIBERAL,4;2;1;1,YES;NO;NO;NO
204,4115,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;NO
204,4116,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
204,4117,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;YES;YES
205,4118,NDP;GREEN;LIBERAL;CPC,2;4;2;4,NO;YES;NO;YES
205,4119,NDP;CPC;LIBERAL;GREEN,3;1;1;4,YES;YES;YES;YES
205,4120,LIBERAL;GREEN;NDP;CPC,2;2;4;2,NO;NO;YES;NO
205,4121,LIBERAL;CPC;NDP;GREEN,2;1;3;2,YES;NO;YES;YES
205,4122,LIBERAL;GREEN;NDP;CPC,2;2;2;2,YES;YES;YES;YES
205,4123,CPC;NDP;GREEN;LIBERAL,3;1;1;1,YES;NO;NO;NO
205,4124,NDP;CPC;LIBERAL;GREEN,2;1;1;4,YES;YES;YES;YES
205,4125,LIBERAL;NDP;GREEN;CPC,1;2;3;2,NO;YES;YES;YES
205,4126,NDP;GREEN;LIBERAL;CPC,1;1;1;1,YES;YES;YES;YES
205,4127,LIBERAL;CPC;NDP;GREEN,3;1;4;2,YES;NO;YES;YES
205,4128,LIBERAL;NDP;GREEN;CPC,1;2;3;2,YES;YES;YES;YES
205,4129,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
205,4130,CPC;LIBERAL;GREEN;NDP,3;1;2;1,YES;NO;YES;NO
205,4131,LIBERAL;NDP;CPC;GREEN,2;2;3;2,YES;YES;YES;YES
205,4132,NDP;GREEN;LIBERAL;CPC,1;2;1;2,NO;YES;NO;YES
205,4133,NDP;CPC;GREEN;LIBERAL,2;1;1;3,YES;YES;YES;YES
205,4134,NDP;LIBERAL;CPC;GREEN,3;3;4;5,NO;NO;NO;YES
205,4135,LIBERAL;CPC;GREEN;NDP,2;1;3;1,YES;NO;YES;NO
205,4136,CPC;LIBERAL;NDP;GREEN,3;2;3;3,YES;YES;YES;YES
205,4137,LIBERAL;NDP;GREEN;CPC,1;2;3;3,YES;YES;YES;YES
205,4138,CPC;GREEN;LIBERAL;NDP,4;3;2;1,YES;NO;NO;NO
205,4139,CPC;LIBERAL;NDP;GREEN,4;2;3;2,YES;YES;YES;YES
206,4140,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;YES;YES;YES
206,4141,LIBERAL;CPC;NDP;GREEN,2;1;3;1,NO;NO;YES;NO
206,4142,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
206,4143,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
206,4144,NDP;GREEN;LIBERAL;CPC,2;3;2;4,YES;YES;YES;YES
206,4145,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
206,4146,NDP;GREEN;CPC;LIBERAL,2;3;1;4,NO;YES;NO;YES
206,4147,CPC;GREEN;LIBERAL;NDP,4;4;3;1,YES;YES;YES;NO
206,4148,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;YES
206,4149,NDP;GREEN;LIBERAL;CPC,2;2;2;3,NO;NO;NO;YES
206,4150,CPC;NDP;GREEN;LIBERAL,3;2;1;2,YES;YES;YES;YES
206,4151,LIBERAL;NDP;GREEN;CPC,2;3;5;4,NO;NO;YES;YES
206,4152,NDP;LIBERAL;CPC;GREEN,1;1;1;3,NO;NO;NO;YES
206,4153,NDP;GREEN;LIBERAL;CPC,1;4;1;4,NO;YES;NO;YES
206,4154,NDP;GREEN;LIBERAL;CPC,1;2;2;4,YES;YES;YES;YES
206,4155,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
206,4156,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;YES
206,4157,NDP;CPC;GREEN;LIBERAL,2;2;1;3,YES;YES;NO;YES
206,4158,LIBERAL;GREEN;NDP;CPC,1;2;3;2,NO;NO;YES;NO
206,4159,LIBERAL;NDP;GREEN;CPC,2;2;4;3,YES;YES;YES;YES
206,4160,NDP;LIBERAL;CPC;GREEN,3;2;3;3,YES;YES;YES;YES
207,4161,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
207,4162,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;NO
207,4163,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
207,4164,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;NO
207,4165,LIBERAL;NDP;CPC;GREEN,2;2;3;2,NO;NO;YES;NO
207,4166,LIBERAL;NDP;GREEN;CPC,1;1;3;1,NO;NO;YES;NO
207,4167,LIBERAL;GREEN;NDP;CPC,1;1;2;1,YES;YES;YES;YES
207,4168,LIBERAL;GREEN;CPC;NDP,1;1;3;1,NO;NO;YES;NO
207,4169,CPC;NDP;GREEN;LIBERAL,3;2;2;2,YES;YES;YES;YES
207,4170,LIBERAL;NDP;CPC;GREEN,3;2;4;3,YES;NO;YES;YES
207,4171,CPC;LIBERAL;GREEN;NDP,4;2;3;1,YES;NO;NO;NO
207,4172,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;NO;YES;NO
207,4173,CPC;GREEN;NDP;LIBERAL,1;1;1;1,YES;YES;YES;YES
207,4174,NDP;GREEN;LIBERAL;CPC,1;2;1;4,YES;YES;YES;YES
207,4175,LIBERAL;CPC;NDP;GREEN,1;1;2;1,YES;YES;YES;YES
207,4176,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
207,4177,CPC;NDP;LIBERAL;GREEN,2;1;1;1,YES;NO;NO;NO
207,4178,NDP;CPC;GREEN;LIBERAL,2;1;1;2,YES;NO;NO;YES
207,4179,GREEN;NDP;CPC;LIBERAL,3;4;2;3,YES;YES;YES;YES
208,4180,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
208,4181,CPC;LIBERAL;NDP;GREEN,2;1;1;1,YES;YES;YES;YES
208,4182,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
208,4183,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;YES;YES;YES
208,4184,LIBERAL;GREEN;NDP;CPC,2;3;4;2,NO;YES;YES;NO
208,4185,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
208,4186,LIBERAL;NDP;CPC;GREEN,1;1;4;3,YES;YES;YES;YES
208,4187,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
208,4188,CPC;LIBERAL;NDP;GREEN,3;1;1;1,YES;NO;NO;NO
208,4189,LIBERAL;GREEN;NDP;CPC,1;2;2;1,NO;YES;YES;NO
208,4190,LIBERAL;NDP;GREEN;CPC,1;2;4;2,NO;YES;YES;YES
208,4191,LIBERAL;GREEN;NDP;CPC,1;2;3;1,YES;YES;YES;YES
208,4192,CPC;NDP;GREEN;LIBERAL,3;1;1;1,YES;NO;NO;NO
208,4193,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;YES
208,4194,CPC;NDP;GREEN;LIBERAL,2;2;2;2,YES;YES;YES;YES
208,4195,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;YES;YES;NO
208,4196,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;YES
208,4197,CPC;NDP;LIBERAL;GREEN,3;1;1;1,YES;YES;YES;YES
208,4198,CPC;LIBERAL;GREEN;NDP,3;1;2;1,YES;NO;YES;NO
208,4199,CPC;LIBERAL;NDP;GREEN,4;1;2;1,YES;NO;NO;NO
208,4200,CPC;GREEN;LIBERAL;NDP,4;3;2;1,YES;NO;NO;NO
209,4201,CPC;LIBERAL;GREEN;NDP,4;1;2;1,YES;NO;NO;NO
209,4202,LIBERAL;NDP;GREEN;CPC,1;1;4;3,YES;YES;YES;YES
209,4203,LIBERAL;NDP;GREEN;CPC,1;1;3;1,NO;NO;YES;NO
209,4204,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;YES;YES;YES
209,4205,CPC;LIBERAL;NDP;GREEN,3;1;2;1,YES;NO;NO;NO
209,4206,GREEN;NDP;CPC;LIBERAL,3;5;2;4,YES;YES;NO;YES
209,4207,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;NO;NO;NO
209,4208,LIBERAL;GREEN;NDP;CPC,1;2;3;1,NO;YES;YES;NO
209,4209,CPC;NDP;GREEN;LIBERAL,4;2;2;3,YES;NO;NO;YES
209,4210,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
209,4211,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;NO;YES
209,4212,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;NO
209,4213,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
209,4214,CPC;LIBERAL;NDP;GREEN,4;1;3;1,YES;NO;YES;NO
209,4215,NDP;GREEN;LIBERAL;CPC,1;1;1;2,NO;NO;NO;YES
209,4216,NDP;LIBERAL;CPC;GREEN,1;1;1;2,NO;NO;NO;YES
209,4217,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;NO
209,4218,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;NO
209,4219,NDP;LIBERAL;GREEN;CPC,1;1;2;3,NO;NO;YES;YES
209,4220,LIBERAL;GREEN;NDP;CPC,1;2;2;2,NO;YES;YES;YES
210,4221,LIBERAL;NDP;CPC;GREEN,3;2;4;3,YES;NO;YES;YES
210,4222,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;NO;YES;NO
210,4223,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
210,4224,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
210,4225,CPC;NDP;LIBERAL;GREEN,3;1;1;2,YES;YES;YES;YES
210,4226,LIBERAL;NDP;CPC;GREEN,2;2;4;2,NO;NO;YES;NO
210,4227,LIBERAL;NDP;GREEN;CPC,1;1;5;2,YES;YES;YES;YES
210,4228,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
210,4229,NDP;GREEN;CPC;LIBERAL,2;3;1;4,YES;YES;NO;YES
210,4230,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;YES;YES;YES
210,4231,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;YES
